Day ,Items ,Note ,Amount 
90,Salary Expense,Cash Payment - Salary Expense,24768
90,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 15445,272
90,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 15820,92
90,Rental Expense,Cash Payment - Rental - Detroit,1200
90,Rental Expense,Cash Payment - Rental - Los Angeles,1080
90,Rental Expense,Cash Payment - Rental - New York,2680
90,Rental Expense,Cash Payment - Rental - Miami,1120
90,Rental Expense,"Cash Payment - Rental - Washington, D.C.",2440
90,Rental Expense,Cash Payment - Rental - San Francisco,2240
89,Human Resource Expense,Attended Training,15000
89,Salary Expense,Cash Payment - Salary Expense,24768
89,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 15626,191
89,Shipping Expense,Cash Payment - Move Stock ID: 12816,21218
89,Rental Expense,Cash Payment - Rental - Detroit,1200
89,Rental Expense,Cash Payment - Rental - Los Angeles,1080
89,Rental Expense,Cash Payment - Rental - New York,2680
89,Rental Expense,Cash Payment - Rental - Miami,1120
89,Rental Expense,"Cash Payment - Rental - Washington, D.C.",2440
89,Rental Expense,Cash Payment - Rental - San Francisco,2240
88,Salary Expense,Cash Payment - Salary Expense,24768
88,Rental Expense,Cash Payment - Rental - Detroit,1200
88,Rental Expense,Cash Payment - Rental - Los Angeles,1080
88,Rental Expense,Cash Payment - Rental - New York,2680
88,Rental Expense,Cash Payment - Rental - Miami,1120
88,Rental Expense,"Cash Payment - Rental - Washington, D.C.",2440
88,Rental Expense,Cash Payment - Rental - San Francisco,2240
87,Human Resource Expense,Counselled,2000
87,Marketing Expense,Cash Payment - Marketing Report Subscription,20000
87,Salary Expense,Cash Payment - Salary Expense,24768
87,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 15078,14
87,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 15091,12
87,Rental Expense,Cash Payment - Rental - Detroit,1200
87,Rental Expense,Cash Payment - Rental - Los Angeles,1080
87,Rental Expense,Cash Payment - Rental - New York,2680
87,Rental Expense,Cash Payment - Rental - Miami,1120
87,Rental Expense,"Cash Payment - Rental - Washington, D.C.",2440
87,Rental Expense,Cash Payment - Rental - San Francisco,2240
86,Marketing Expense,Cash Payment - Marketing Report Subscription,20000
86,Salary Expense,Cash Payment - Salary Expense,24768
86,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 14884,28
86,Shipping Expense,Cash Payment - Move Stock ID: 14492,14324
86,Rental Expense,Cash Payment - Rental - Detroit,1200
86,Rental Expense,Cash Payment - Rental - Los Angeles,1080
86,Rental Expense,Cash Payment - Rental - New York,2680
86,Rental Expense,Cash Payment - Rental - Miami,1120
86,Rental Expense,"Cash Payment - Rental - Washington, D.C.",2440
