Day,Location ,Product ,Unit Sold ,Revenue ,COGS 
90,Los Angeles,Sparkling Wine,446,8028,2674
90,Los Angeles,Red Wine,260,5200,2959
90,Los Angeles,White Wine,229,5038,1947
90,New York,Sparkling Wine,540,9720,3237
90,New York,Red Wine,349,6980,3972
90,New York,White Wine,319,7018,2712
90,Miami,Sparkling Wine,42,756,252
90,Miami,Red Wine,44,880,501
90,Miami,White Wine,44,968,374
90,"Washington, D.C.",Sparkling Wine,67,1206,402
90,"Washington, D.C.",Red Wine,75,1500,854
90,"Washington, D.C.",White Wine,56,1232,476
90,San Francisco,Sparkling Wine,91,1547,546
90,San Francisco,Red Wine,62,1178,706
90,San Francisco,White Wine,63,1260,536
89,Los Angeles,Sparkling Wine,436,9592,2614
89,Los Angeles,Red Wine,241,5784,2743
89,Los Angeles,White Wine,218,5668,1853
89,New York,Sparkling Wine,541,11902,3243
89,New York,Red Wine,334,8016,3802
89,New York,White Wine,307,7982,2610
89,Miami,Sparkling Wine,39,858,234
89,Miami,Red Wine,39,897,444
89,Miami,White Wine,39,975,332
89,"Washington, D.C.",Sparkling Wine,68,1496,408
89,"Washington, D.C.",Red Wine,62,1488,706
89,"Washington, D.C.",White Wine,52,1352,442
89,San Francisco,Sparkling Wine,86,1892,516
89,San Francisco,Red Wine,52,1248,592
89,San Francisco,White Wine,54,1404,459
88,Los Angeles,Sparkling Wine,427,9394,2560
88,Los Angeles,Red Wine,258,6192,2638
88,Los Angeles,White Wine,240,6240,2040
88,New York,Sparkling Wine,584,12848,3501
88,New York,Red Wine,324,7776,3313
88,New York,White Wine,307,7982,2610
88,Miami,Sparkling Wine,37,814,222
88,Miami,Red Wine,42,966,429
88,Miami,White Wine,40,1000,340
88,"Washington, D.C.",Sparkling Wine,61,1342,366
88,"Washington, D.C.",Red Wine,61,1464,624
88,"Washington, D.C.",White Wine,54,1404,459
88,San Francisco,Sparkling Wine,84,1848,504
88,San Francisco,Red Wine,56,1344,573
88,San Francisco,White Wine,53,1378,451
87,Los Angeles,Sparkling Wine,389,10114,2332
87,Los Angeles,Red Wine,237,6636,2423
87,Los Angeles,White Wine,221,6630,1879
87,New York,Sparkling Wine,500,13000,2997
87,New York,Red Wine,295,8260,3016
87,New York,White Wine,275,8250,2338
87,Miami,Sparkling Wine,38,988,228
87,Miami,Red Wine,37,1036,378
87,Miami,White Wine,37,1073,315
87,"Washington, D.C.",Sparkling Wine,60,1560,360
87,"Washington, D.C.",Red Wine,61,1708,624
87,"Washington, D.C.",White Wine,48,1440,408
87,San Francisco,Sparkling Wine,79,2054,474
87,San Francisco,Red Wine,54,1512,552
87,San Francisco,White Wine,47,1410,400
86,Los Angeles,Sparkling Wine,389,10114,2332
86,Los Angeles,Red Wine,210,5880,2147
86,Los Angeles,White Wine,219,6570,1862
86,New York,Sparkling Wine,487,12662,2919
86,New York,Red Wine,298,8344,3047
86,New York,White Wine,283,8490,2406
86,Miami,Sparkling Wine,36,936,216
86,Miami,Red Wine,34,952,348
86,Miami,White Wine,38,1102,323
86,"Washington, D.C.",Sparkling Wine,62,1612,372
86,"Washington, D.C.",Red Wine,60,1680,613
86,"Washington, D.C.",White Wine,47,1410,400
86,San Francisco,Sparkling Wine,75,1950,450
86,San Francisco,Red Wine,53,1484,542
86,San Francisco,White Wine,49,1470,417
85,Los Angeles,Sparkling Wine,385,10010,2268
85,Los Angeles,Red Wine,239,6692,2419
