Day ,Items ,Note ,Amount 
89,Human Resource Expense,Attended Training,-15000
87,Human Resource Expense,Counselled,-2000
84,Human Resource Expense,Attended Training,-15000
84,Human Resource Expense,Attended Training,-15000
84,Human Resource Expense,Attended Training,-15000
79,Human Resource Expense,Attended Training,-15000
76,Human Resource Expense,Attended Training,-15000
76,Human Resource Expense,Attended Training,-15000
71,Human Resource Expense,Attended Training,-15000
71,Human Resource Expense,Counselled,-2000
71,Human Resource Expense,Attended Training,-15000
64,Human Resource Expense,Attended Training,-15000
63,Human Resource Expense,Staff Dismiss,-1000
63,Human Resource Expense,Staff Dismiss,-1000
63,Human Resource Expense,Staff Dismiss,-1000
62,Human Resource Expense,Attended Training,-15000
62,Human Resource Expense,Attended Training,-15000
59,Human Resource Expense,Counselled,-2000
59,Human Resource Expense,Attended Training,-15000
58,Human Resource Expense,Attended Training,-15000
56,Human Resource Expense,Counselled,-2000
56,Human Resource Expense,Counselled,-2000
52,Human Resource Expense,Attended Training,-15000
50,Human Resource Expense,Counselled,-2000
50,Human Resource Expense,Counselled,-2000
46,Human Resource Expense,Counselled,-2000
45,Human Resource Expense,Attended Training,-15000
44,Human Resource Expense,Attended Training,-15000
40,Human Resource Expense,Attended Training,-15000
40,Human Resource Expense,Staff Dismiss,-38000
40,Human Resource Expense,Attended Training,-15000
39,Human Resource Expense,Attended Training,-15000
39,Human Resource Expense,Attended Training,-15000
36,Human Resource Expense,Attended Training,-15000
36,Human Resource Expense,Attended Training,-15000
33,Human Resource Expense,Attended Training,-15000
33,Human Resource Expense,Attended Training,-15000
32,Human Resource Expense,Attended Training,-15000
30,Human Resource Expense,Counselled,-2000
30,Human Resource Expense,Counselled,-2000
28,Human Resource Expense,Attended Training,-15000
28,Human Resource Expense,Attended Training,-15000
23,Human Resource Expense,Attended Training,-15000
23,Human Resource Expense,Attended Training,-15000
21,Human Resource Expense,Attended Training,-15000
21,Human Resource Expense,Staff Dismiss,-19000
21,Human Resource Expense,Staff Dismiss,-19000
20,Human Resource Expense,Staff Dismiss,-17000
17,Human Resource Expense,Staff Dismiss,-15000
16,Human Resource Expense,Staff Dismiss,-13000
16,Human Resource Expense,Staff Dismiss,-13000
16,Human Resource Expense,Staff Dismiss,-12000
10,Human Resource Expense,Staff Dismiss,-7000
10,Human Resource Expense,Staff Dismiss,-7000
10,Human Resource Expense,Attended Training,-15000
10,Human Resource Expense,Staff Dismiss,-8000
10,Human Resource Expense,Attended Training,-15000
10,Human Resource Expense,Attended Training,-15000
9,Human Resource Expense,Attended Training,-15000
7,Human Resource Expense,Counselled,-2000
5,Human Resource Expense,Attended Training,-15000
4,Human Resource Expense,Counselled,-2000
4,Human Resource Expense,Counselled,-2000
4,Human Resource Expense,Counselled,-2000
3,Human Resource Expense,"Cash Payment - Staff Recruiting - Washington, D.C.",-60000
3,Human Resource Expense,Cash Payment - Staff Recruiting - Production,-30000
3,Human Resource Expense,Cash Payment - Staff Recruiting - San Francisco,-60000
3,Human Resource Expense,Cash Payment - Staff Recruiting - Production,-30000
2,Human Resource Expense,Cash Payment - Staff Recruiting - Detroit,-60000
2,Human Resource Expense,Cash Payment - Staff Recruiting - Los Angeles,-60000
2,Human Resource Expense,Cash Payment - Staff Recruiting - Chicago,-60000
2,Human Resource Expense,Cash Payment - Staff Recruiting - New York,-60000
2,Human Resource Expense,Cash Payment - Staff Recruiting - Miami,-60000
83,Interest Expense ,Cash Payment - Interest - For Overdraft,-2039
82,Interest Expense ,Cash Payment - Interest - For Overdraft,-2039
81,Interest Expense ,Cash Payment - Interest - For Overdraft,-2039
80,Interest Expense ,Cash Payment - Interest - For Overdraft,-2039
79,Interest Expense ,Cash Payment - Interest - For Overdraft,-2039
78,Interest Expense ,Cash Payment - Interest - For Overdraft,-2023
77,Interest Expense ,Cash Payment - Interest - For Overdraft,-3050
76,Interest Expense ,Cash Payment - Interest - For Overdraft,-1991
75,Interest Expense ,Cash Payment - Interest - For Overdraft,-1991
74,Interest Expense ,Cash Payment - Interest - For Overdraft,-1991
73,Interest Expense ,Cash Payment - Interest - For Overdraft,-1926
72,Interest Expense ,Cash Payment - Interest - For Overdraft,-1798
71,Interest Expense ,Cash Payment - Interest - For Overdraft,-1798
70,Interest Expense ,Cash Payment - Interest - For Overdraft,-1798
69,Interest Expense ,Cash Payment - Interest - For Overdraft,-1798
68,Interest Expense ,Cash Payment - Interest - For Overdraft,-1541
67,Interest Expense ,Cash Payment - Interest - For Overdraft,-1541
66,Interest Expense ,Cash Payment - Interest - For Overdraft,-1541
65,Interest Expense ,Cash Payment - Interest - For Overdraft,-1027
64,Interest Expense ,Cash Payment - Interest - For Overdraft,-1027
63,Interest Expense ,Cash Payment - Interest - For Overdraft,-1027
62,Interest Expense ,Cash Payment - Interest - For Overdraft,-1027
59,Interest Expense ,Cash Payment - Interest - For Overdraft,-1027
58,Interest Expense ,Cash Payment - Interest - For Overdraft,-1027
56,Interest Expense ,Cash Payment - Interest - For Overdraft,-1397
55,Interest Expense ,Cash Payment - Interest - For Overdraft,-1397
54,Interest Expense ,Cash Payment - Interest - For Overdraft,-1397
53,Interest Expense ,Cash Payment - Interest - For Overdraft,-1397
