"Day","Cash On Hand"
0,3500000
1,3487400
2,3160120
3,551569
4,120614
5,142995
6,199535
7,257854
8,45939
9,208361
10,125761
11,569412
12,349778
13,479487
14,65613
15,141935
16,17718
17,7536
18,99962
19,455448
20,63587
21,30062
22,26826
23,58953
24,64186
25,61804
26,72900
27,108856
28,78248
29,155320
30,89879
31,381570
32,77588
33,2558
34,208347
35,240615
36,213242
37,495398
38,93531
39,260705
40,186406
41,532219
42,533339
43,63737
44,56843
45,357785
46,81509
47,38681
48,548673
49,140692
50,129439
51,142895
52,103314
53,105567
54,334672
55,193508
56,557277
57,40945
58,559396
59,550310
60,211535
61,4956
62,575968
63,576769
64,162972
65,191647
66,361457
67,379839
68,328911
69,108404
70,83490
71,51067
72,61776
73,120055
74,31550
75,56983
76,47732
77,451116
78,50077
79,87355
80,232565
81,399354
82,574882
83,740918
84,1213068
85,1598426
86,1554122
87,1552358
88,1578822
89,1926693
90,1945972
