"Day","Sales","Trading Profit","Operating Expense","Net Profit"
60,14879392,4217230,5890825,-1682095
61,14915873,4234708,5931993,-1705785
62,14955101,4258838,6001505,-1751167
63,14995974,4284726,6039268,-1763042
64,15031582,4309921,6126423,-1825002
65,15100051,4355308,6161152,-1814344
66,15168523,4404965,6196385,-1799920
67,15232442,4452010,6231644,-1788134
68,15296278,4498899,6266910,-1776511
69,15360891,4549210,6302788,-1762078
70,15478672,4609014,6338683,-1738169
71,15542306,4657061,6434471,-1785910
72,15610051,4706454,6491507,-1793553
73,15676560,4758316,6577862,-1828046
74,15765191,4819717,6660033,-1848816
75,15849558,4877234,6717227,-1848493
76,15907496,4920660,6784416,-1872256
77,15996370,4985118,6835733,-1859115
78,16257778,5175999,6873180,-1705681
79,16521071,5369456,6937703,-1576747
80,16737190,5525287,6975056,-1458269
81,16960747,5695226,7028918,-1342192
82,17174545,5845722,7067188,-1229966
83,17379129,6034309,7105736,-1079927
84,19172183,6863953,7186405,-330952
85,19613798,7016727,7241933,-233706
86,19678454,7070813,7311813,-249500
87,19758244,7126558,7369367,-251309
88,19820236,7167921,7404895,-245474
89,20537068,7411008,7476832,-74324
90,20592239,7441904,7512724,-79320
