[HIGHEST OVERHEAD] SALARY EXPENSE: 27.06%
[CASH DEFICIT] DAY:3, AMOUNT: USD-2608551
[PROFIT DEFICIT] DAY:1, AMOUNT: USD12600
[PROFIT DEFICIT] DAY:2, AMOUNT: USD339880
[PROFIT DEFICIT] DAY:3, AMOUNT: USD534574
[PROFIT DEFICIT] DAY:4, AMOUNT: USD582453
[PROFIT DEFICIT] DAY:5, AMOUNT: USD635288
[PROFIT DEFICIT] DAY:6, AMOUNT: USD901688
[PROFIT DEFICIT] DAY:7, AMOUNT: USD907975
[PROFIT DEFICIT] DAY:8, AMOUNT: USD214745
[PROFIT DEFICIT] DAY:9, AMOUNT: USD235217
[PROFIT DEFICIT] DAY:10, AMOUNT: USD66991
[PROFIT DEFICIT] DAY:16, AMOUNT: USD8065
[PROFIT DEFICIT] DAY:17, AMOUNT: USD40213
[PROFIT DEFICIT] DAY:21, AMOUNT: USD98987
[PROFIT DEFICIT] DAY:22, AMOUNT: USD156206
[PROFIT DEFICIT] DAY:23, AMOUNT: USD187691
[PROFIT DEFICIT] DAY:24, AMOUNT: USD233227
[PROFIT DEFICIT] DAY:25, AMOUNT: USD284201
[PROFIT DEFICIT] DAY:26, AMOUNT: USD319400
[PROFIT DEFICIT] DAY:27, AMOUNT: USD331909
[PROFIT DEFICIT] DAY:28, AMOUNT: USD399622
[PROFIT DEFICIT] DAY:29, AMOUNT: USD431783
[PROFIT DEFICIT] DAY:30, AMOUNT: USD1167741
[PROFIT DEFICIT] DAY:31, AMOUNT: USD1101083
[PROFIT DEFICIT] DAY:32, AMOUNT: USD1389990
[PROFIT DEFICIT] DAY:33, AMOUNT: USD1412369
[PROFIT DEFICIT] DAY:34, AMOUNT: USD1603483
[PROFIT DEFICIT] DAY:35, AMOUNT: USD1617557
[PROFIT DEFICIT] DAY:36, AMOUNT: USD1674438
[PROFIT DEFICIT] DAY:37, AMOUNT: USD1492413
[PROFIT DEFICIT] DAY:38, AMOUNT: USD1411012
[PROFIT DEFICIT] DAY:39, AMOUNT: USD1351786
[PROFIT DEFICIT] DAY:40, AMOUNT: USD1435037
[PROFIT DEFICIT] DAY:41, AMOUNT: USD1566740
[PROFIT DEFICIT] DAY:42, AMOUNT: USD1598147
[PROFIT DEFICIT] DAY:43, AMOUNT: USD1620832
[PROFIT DEFICIT] DAY:44, AMOUNT: USD1652874
[PROFIT DEFICIT] DAY:45, AMOUNT: USD1536104
[PROFIT DEFICIT] DAY:46, AMOUNT: USD1593518
[PROFIT DEFICIT] DAY:47, AMOUNT: USD1689367
[PROFIT DEFICIT] DAY:48, AMOUNT: USD1688104
[PROFIT DEFICIT] DAY:49, AMOUNT: USD1658338
[PROFIT DEFICIT] DAY:50, AMOUNT: USD1679562
[PROFIT DEFICIT] DAY:51, AMOUNT: USD1692777
[PROFIT DEFICIT] DAY:52, AMOUNT: USD1745374
[PROFIT DEFICIT] DAY:53, AMOUNT: USD1781168
[PROFIT DEFICIT] DAY:54, AMOUNT: USD1805931
[PROFIT DEFICIT] DAY:55, AMOUNT: USD1841613
[PROFIT DEFICIT] DAY:56, AMOUNT: USD1764485
[PROFIT DEFICIT] DAY:57, AMOUNT: USD1743674
[PROFIT DEFICIT] DAY:58, AMOUNT: USD1705378
[PROFIT DEFICIT] DAY:59, AMOUNT: USD1736763
[PROFIT DEFICIT] DAY:60, AMOUNT: USD1682095
[PROFIT DEFICIT] DAY:61, AMOUNT: USD1705785
[PROFIT DEFICIT] DAY:62, AMOUNT: USD1751167
[PROFIT DEFICIT] DAY:63, AMOUNT: USD1763042
[PROFIT DEFICIT] DAY:64, AMOUNT: USD1825002
[PROFIT DEFICIT] DAY:65, AMOUNT: USD1814344
[PROFIT DEFICIT] DAY:66, AMOUNT: USD1799920
[PROFIT DEFICIT] DAY:67, AMOUNT: USD1788134
[PROFIT DEFICIT] DAY:68, AMOUNT: USD1776511
[PROFIT DEFICIT] DAY:69, AMOUNT: USD1762078
[PROFIT DEFICIT] DAY:70, AMOUNT: USD1738169
[PROFIT DEFICIT] DAY:71, AMOUNT: USD1785910
[PROFIT DEFICIT] DAY:72, AMOUNT: USD1793553
[PROFIT DEFICIT] DAY:73, AMOUNT: USD1828046
[PROFIT DEFICIT] DAY:74, AMOUNT: USD1848816
[PROFIT DEFICIT] DAY:75, AMOUNT: USD1848493
[PROFIT DEFICIT] DAY:76, AMOUNT: USD1872256
[PROFIT DEFICIT] DAY:77, AMOUNT: USD1859115
[PROFIT DEFICIT] DAY:78, AMOUNT: USD1705681
[PROFIT DEFICIT] DAY:79, AMOUNT: USD1576747
[PROFIT DEFICIT] DAY:80, AMOUNT: USD1458269
[PROFIT DEFICIT] DAY:81, AMOUNT: USD1342192
[PROFIT DEFICIT] DAY:82, AMOUNT: USD1229966
[PROFIT DEFICIT] DAY:83, AMOUNT: USD1079927
[PROFIT DEFICIT] DAY:84, AMOUNT: USD330952
[PROFIT DEFICIT] DAY:85, AMOUNT: USD233706
[PROFIT DEFICIT] DAY:86, AMOUNT: USD249500
[PROFIT DEFICIT] DAY:87, AMOUNT: USD251309
[PROFIT DEFICIT] DAY:88, AMOUNT: USD245474
[PROFIT DEFICIT] DAY:89, AMOUNT: USD74324
[PROFIT DEFICIT] DAY:90, AMOUNT: USD79320
