[HIGHEST OVERHEAD] SALARY EXPENSE: 27.06%
[HIGHEST PROFIT DEFICIT] DAY:76, AMOUNT: USD-1872256
[CASH DEFICIT] DAY:1, AMOUNT: USD12600
[CASH DEFICIT] DAY:2, AMOUNT: USD327280
[CASH DEFICIT] DAY:3, AMOUNT: USD2608551
[CASH DEFICIT] DAY:4, AMOUNT: USD430955
[CASH DEFICIT] DAY:8, AMOUNT: USD211915
[CASH DEFICIT] DAY:10, AMOUNT: USD82600
[CASH DEFICIT] DAY:12, AMOUNT: USD219634
[CASH DEFICIT] DAY:14, AMOUNT: USD413874
[CASH DEFICIT] DAY:16, AMOUNT: USD124217
[CASH DEFICIT] DAY:17, AMOUNT: USD10182
[CASH DEFICIT] DAY:20, AMOUNT: USD391861
[CASH DEFICIT] DAY:21, AMOUNT: USD33525
[CASH DEFICIT] DAY:22, AMOUNT: USD3236
[CASH DEFICIT] DAY:25, AMOUNT: USD2382
[CASH DEFICIT] DAY:28, AMOUNT: USD30608
[CASH DEFICIT] DAY:30, AMOUNT: USD65441
[CASH DEFICIT] DAY:32, AMOUNT: USD303982
[CASH DEFICIT] DAY:33, AMOUNT: USD75030
[CASH DEFICIT] DAY:36, AMOUNT: USD27373
[CASH DEFICIT] DAY:38, AMOUNT: USD401867
[CASH DEFICIT] DAY:40, AMOUNT: USD74299
[CASH DEFICIT] DAY:43, AMOUNT: USD469602
[CASH DEFICIT] DAY:44, AMOUNT: USD6894
[CASH DEFICIT] DAY:46, AMOUNT: USD276276
[CASH DEFICIT] DAY:47, AMOUNT: USD42828
[CASH DEFICIT] DAY:49, AMOUNT: USD407981
[CASH DEFICIT] DAY:50, AMOUNT: USD11253
[CASH DEFICIT] DAY:52, AMOUNT: USD39581
[CASH DEFICIT] DAY:55, AMOUNT: USD141164
[CASH DEFICIT] DAY:57, AMOUNT: USD516332
[CASH DEFICIT] DAY:59, AMOUNT: USD9086
[CASH DEFICIT] DAY:60, AMOUNT: USD338775
[CASH DEFICIT] DAY:61, AMOUNT: USD206579
[CASH DEFICIT] DAY:64, AMOUNT: USD413797
[CASH DEFICIT] DAY:68, AMOUNT: USD50928
[CASH DEFICIT] DAY:69, AMOUNT: USD220507
[CASH DEFICIT] DAY:70, AMOUNT: USD24914
[CASH DEFICIT] DAY:71, AMOUNT: USD32423
[CASH DEFICIT] DAY:74, AMOUNT: USD88505
[CASH DEFICIT] DAY:76, AMOUNT: USD9251
[CASH DEFICIT] DAY:78, AMOUNT: USD401039
[CASH DEFICIT] DAY:86, AMOUNT: USD44304
[CASH DEFICIT] DAY:87, AMOUNT: USD1764
